Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years
FDA15,9.3,0,0.016047301,249.8092,OUT049,1,0,1,3735.138,22
DRC01,5.92,1,0.019278216,48.2692,OUT018,1,2,2,443.4228,12
FDN15,17.5,0,0.016760075,141.618,OUT049,1,0,1,2097.27,22
FDX07,19.2,1,0.0,182.095,OUT010,1,2,0,732.38,23
NCD19,8.93,0,0.0,53.8614,OUT013,0,2,1,994.7052,34
FDP36,10.395,1,0.0,51.4008,OUT018,1,2,2,556.6088,12
FDO10,13.65,1,0.012741089,57.6588,OUT013,0,2,1,343.5528,34
FDP10,12.792854228644284,0,0.127469857,107.7622,OUT027,1,2,3,4022.7636,36
FDH17,16.2,1,0.016687114,96.9726,OUT045,1,1,1,1076.5986,19
FDU28,19.2,1,0.09444959,187.8214,OUT017,1,1,1,4710.535,14
FDY07,11.8,0,0.0,45.5402,OUT049,1,0,1,1516.0266,22
FDA03,18.5,1,0.045463773,144.1102,OUT046,2,0,1,2187.153,24
FDX32,15.1,1,0.1000135,145.4786,OUT049,1,0,1,1589.2646,22
FDS46,17.6,1,0.047257328,119.6782,OUT046,2,0,1,2145.2076,24
FDF32,16.35,0,0.0680243,196.4426,OUT013,0,2,1,1977.426,34
FDP49,9.0,1,0.069088961,56.3614,OUT046,2,0,1,1547.3192,24
NCB42,11.8,0,0.008596051,115.3492,OUT018,1,2,2,1621.8888,12
FDP49,9.0,1,0.069196376,54.3614,OUT049,1,0,1,718.3982,22
DRI11,12.792854228644284,0,0.034237682,113.2834,OUT027,1,2,3,2303.668,36
FDU02,13.35,0,0.10249212,230.5352,OUT035,2,1,1,2748.4224,17
FDN22,18.85,1,0.138190277,250.8724,OUT013,0,2,1,3775.086,34
FDW12,12.792854228644284,1,0.035399923,144.5444,OUT027,1,2,3,4064.0432,36
NCB30,14.6,0,0.025698134,196.5084,OUT035,2,1,1,1587.2672,17
FDC37,12.792854228644284,0,0.057556998,107.6938,OUT019,2,0,0,214.3876,36
FDR28,13.85,1,0.025896485,165.021,OUT046,2,0,1,4078.025,24
NCD06,13.0,0,0.099887103,45.906,OUT017,1,1,1,838.908,14
FDV10,7.645,1,0.066693437,42.3112,OUT035,2,1,1,1065.28,17
DRJ59,11.65,0,0.019356132,39.1164,OUT013,0,2,1,308.9312,34
FDE51,5.925,1,0.161466534,45.5086,OUT010,1,2,0,178.4344,23
FDC14,12.792854228644284,1,0.072221801,43.6454,OUT019,2,0,0,125.8362,36
FDV38,19.25,0,0.170348551,55.7956,OUT010,1,2,0,163.7868,23
NCS17,18.6,0,0.080829372,96.4436,OUT018,1,2,2,2741.7644,12
FDP33,18.7,0,0.0,256.6672,OUT018,1,2,2,3068.0064,12
FDO23,17.85,0,0.0,93.1436,OUT045,1,1,1,2174.5028,19
DRH01,17.5,0,0.097904029,174.8738,OUT046,2,0,1,2085.2856,24
NCX29,10.0,0,0.089291137,146.7102,OUT049,1,0,1,3791.0652,22
FDV20,12.792854228644284,1,0.059511812,128.0678,OUT027,1,2,3,2797.6916,36
DRZ11,8.85,1,0.113123893,122.5388,OUT018,1,2,2,1609.9044,12
FDX10,12.792854228644284,1,0.123111453,36.9874,OUT027,1,2,3,388.1614,36
FDB34,12.792854228644284,0,0.026480954,87.6198,OUT027,1,2,3,2180.495,36
FDU02,13.35,0,0.102511504,230.6352,OUT046,2,0,1,3435.528,24
FDK43,9.8,0,0.02681843,126.002,OUT013,0,2,1,2150.534,34
